trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.1, 'e': 0.9865821144408262}",25,0,-112.26077015521679,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
165,False,"{'a': 0.1, 'e': 0.9864183553463477}",30,0,-151.34980593897586,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
166,False,"{'a': 0.1, 'e': 0.986253609833596}",20,0,-87.09542187272457,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
167,False,"{'a': 0.1, 'e': 0.9860878780673167}",20,0,-162.10866203481677,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
168,False,"{'a': 0.1, 'e': 0.9859211602132415}",20,0,-84.68058163845559,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
169,False,"{'a': 0.1, 'e': 0.9857534564380882}",20,0,-104.90945324454209,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
170,False,"{'a': 0.1, 'e': 0.9855847669095608}",35,0,-233.472039112711,"{0: 20, 1: 3, 2: 6, 3: 3, 4: 3}",0
171,False,"{'a': 0.1, 'e': 0.9854150917963483}",25,0,-105.6694532397086,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
172,False,"{'a': 0.1, 'e': 0.9852444312681263}",25,0,-87.11659816586379,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
173,False,"{'a': 0.1, 'e': 0.9850727854955552}",25,0,-119.92336891504063,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
174,False,"{'a': 0.1, 'e': 0.9849001546502806}",20,0,-122.19319889548169,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
175,False,"{'a': 0.1, 'e': 0.9847265389049334}",20,0,-44.76090419252046,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
176,False,"{'a': 0.1, 'e': 0.9845519384331295}",30,0,-121.44897280837193,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
177,False,"{'a': 0.1, 'e': 0.984376353409469}",20,0,-89.20434776265998,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
178,False,"{'a': 0.1, 'e': 0.9841997840095373}",25,0,-105.36746063721857,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
179,False,"{'a': 0.1, 'e': 0.9840222304099036}",30,0,-177.8865107404973,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
180,False,"{'a': 0.1, 'e': 0.9838436927881214}",25,0,-158.07165578952208,"{0: 10, 1: 2, 2: 10, 3: 3, 4: 0}",0
181,False,"{'a': 0.1, 'e': 0.9836641713227284}",20,0,-60.68803518546414,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
182,False,"{'a': 0.1, 'e': 0.9834836661932461}",20,0,-158.78342876109198,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
